tournament,match_number,date,team_a,team_b,team_a_goals,team_b_goals,team_a_fifa,team_b_fifa,odds_home,odds_draw,odds_away
2014,1,2014-06-12,BRA,HRV,3,1,1400,1050,1.59,4.21,11.93
2014,2,2014-06-13,MEX,CMR,1,0,1000,880,2.11,4.21,4.2
2014,3,2014-06-17,BRA,MEX,0,0,1400,1000,1.54,4.21,15.44
2014,4,2014-06-18,CMR,HRV,0,4,880,1050,5.14,4.21,1.93
2014,5,2014-06-23,CMR,BRA,1,4,880,1400,29.41,4.21,1.47
2014,6,2014-06-23,HRV,MEX,1,3,1050,1000,2.46,4.21,3.28
2014,7,2014-06-13,ESP,NLD,1,5,1300,1350,3.28,4.21,2.46
2014,8,2014-06-13,CHL,AUS,3,1,1200,850,1.59,4.21,11.93
2014,9,2014-06-18,ESP,CHL,0,2,1300,1200,2.19,4.21,3.9
2014,10,2014-06-18,AUS,NLD,2,3,850,1350,26.36,4.21,1.48
2014,11,2014-06-23,AUS,ESP,0,3,850,1300,20.12,4.21,1.51
2014,12,2014-06-23,NLD,CHL,2,0,1350,1200,2.0,4.21,4.73
2014,13,2014-06-14,COL,GRC,3,0,1150,950,1.85,4.21,5.84
2014,14,2014-06-14,CIV,JPN,2,1,1050,950,2.19,4.21,3.9
2014,15,2014-06-19,COL,CIV,2,1,1150,1050,2.19,4.21,3.9
2014,16,2014-06-19,JPN,GRC,0,0,950,950,2.81,4.21,2.81
2014,17,2014-06-24,JPN,COL,1,4,950,1150,5.84,4.21,1.85
2014,18,2014-06-24,GRC,CIV,2,1,950,1050,3.9,4.21,2.19
2014,19,2014-06-14,URY,CRI,1,3,1120,750,1.57,4.21,13.21
2014,20,2014-06-14,GBR,ITA,1,2,1100,1150,3.28,4.21,2.46
2014,21,2014-06-19,URY,GBR,2,1,1120,1100,2.65,4.21,2.98
2014,22,2014-06-20,ITA,CRI,0,1,1150,750,1.54,4.21,15.44
2014,23,2014-06-24,ITA,URY,0,1,1150,1120,2.58,4.21,3.07
2014,24,2014-06-24,CRI,GBR,0,0,750,1100,11.93,4.21,1.59
2014,25,2014-06-15,CHE,ECU,2,1,1100,950,2.0,4.21,4.73
2014,26,2014-06-15,FRA,HND,3,0,1200,750,1.51,4.21,20.12
2014,27,2014-06-20,CHE,FRA,2,5,1100,1200,3.9,4.21,2.19
2014,28,2014-06-20,HND,ECU,1,2,750,950,5.84,4.21,1.85
2014,29,2014-06-25,HND,CHE,0,3,750,1100,11.93,4.21,1.59
2014,30,2014-06-25,ECU,FRA,0,0,950,1200,7.32,4.21,1.74
2014,31,2014-06-15,ARG,BIH,2,1,1250,950,1.65,4.21,9.3
2014,32,2014-06-16,IRN,NGA,0,0,800,900,3.9,4.21,2.19
2014,33,2014-06-21,ARG,IRN,1,0,1250,800,1.51,4.21,20.12
2014,34,2014-06-21,NGA,BIH,1,0,900,950,3.28,4.21,2.46
2014,35,2014-06-25,NGA,ARG,2,3,900,1250,11.93,4.21,1.59
2014,36,2014-06-25,BIH,IRN,3,1,950,800,2.0,4.21,4.73
2014,37,2014-06-16,DEU,PRT,4,0,1350,1150,1.85,4.21,5.84
2014,38,2014-06-16,GHA,USA,1,2,900,1000,3.9,4.21,2.19
2014,39,2014-06-21,DEU,GHA,2,2,1350,900,1.51,4.21,20.12
2014,40,2014-06-22,USA,PRT,2,2,1000,1150,4.73,4.21,2.0
2014,41,2014-06-26,USA,DEU,0,1,1000,1350,11.93,4.21,1.59
2014,42,2014-06-26,PRT,GHA,2,1,1150,900,1.74,4.21,7.32
2014,43,2014-06-17,BEL,DZA,2,1,1150,900,1.74,4.21,7.32
2014,44,2014-06-17,RUS,KOR,1,1,1050,850,1.85,4.21,5.84
2014,45,2014-06-22,BEL,RUS,1,0,1150,1050,2.19,4.21,3.9
2014,46,2014-06-22,KOR,DZA,2,4,850,900,3.28,4.21,2.46
2014,47,2014-06-26,KOR,BEL,0,1,850,1150,9.3,4.21,1.65
2014,48,2014-06-26,DZA,RUS,1,1,900,1050,4.73,4.21,2.0
